dataset_id,dataset_name,model,instances,features,processed_features,n_classes,train_val_accuracy,train_val_auc_ovo,train_val_cross_entropy,test_accuracy,test_auc_ovo,test_cross_entropy,time,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,num_leaves,min_child_samples,min_split_gain,reg_alpha,reg_lambda,feature_fraction,bagging_fraction,bagging_freq,bootstrap_type,iterations,depth,l2_leaf_reg,random_strength,od_wait,bagging_temperature,C,kernel,probability
1068,pc1,rf,1109.0,22.0,21,2,0.9932356257046223,0.9993548387096775,0.04746016113018561,0.9279279279279279,0.8764895330112722,0.18298084447426444,1.8318312168121338,905.0,17.0,9.0,1.0,log2,False,,,,,,,,,,,,,,,,,,,,,,,
1068,pc1,xgb,1109.0,22.0,21,2,0.9627959413754228,0.9836461388074291,0.09927898327994043,0.9414414414414415,0.8706924315619968,0.16925431740423386,0.2287290096282959,676.0,11.0,,,,,0.09618297580363154,0.9612822199122603,0.9470437552979988,2.0,1.5773647607851804,,,,,,,,,,,,,,,,,,
1068,pc1,lgb,1109.0,22.0,21,2,0.9898534385569335,0.9982991202346041,0.05266508733395468,0.9414414414414415,0.8584541062801933,0.1772247449919134,0.5651681423187256,1285.0,16.0,,,,,0.0032322055540637746,0.8084111930130775,0.7565384940366475,1.3785681868282713,,93.0,6.0,0.005171225184505306,0.0024284956473740425,0.006311769265947424,0.7120320725834126,0.8416227824198854,8.0,,,,,,,,,,
1068,pc1,cat,1109.0,22.0,21,2,0.9954904171364148,0.999843597262952,0.006895796992820019,0.9504504504504504,0.8574879227053139,0.36040764901893785,1.487260341644287,,,,,,,0.021551557589686864,,,,,,,,,,,,,Bayesian,983.0,6.0,6.460985579047985e-05,1.7817045936121877e-07,23.0,7.860181828172852,,,
1068,pc1,svm,1109.0,22.0,21,2,0.9301014656144306,0.7845552297165201,0.23903596478659195,0.9324324324324325,0.7392914653784219,0.23791988358187938,0.04101991653442383,,,,,,,,,,,0.008962316280218428,,,,,,,,,,,,,,,,0.03240604948709993,linear,True
1462,banknote-authentication,rf,1372.0,5.0,4,2,1.0,1.0,0.005217330763688393,0.9963636363636363,1.0,0.01667080437459868,2.52095103263855,1261.0,24.0,9.0,1.0,sqrt,False,,,,,,,,,,,,,,,,,,,,,,,
1462,banknote-authentication,xgb,1372.0,5.0,4,2,0.9990884229717412,0.9999999999999999,0.023213327266824742,0.9963636363636363,1.0,0.02579884920144133,0.38640689849853516,1937.0,17.0,,,,,0.09951537700127785,0.5979982584633015,0.91085789997022,3.0,1.71740705971734,,,,,,,,,,,,,,,,,,
1462,banknote-authentication,lgb,1372.0,5.0,4,2,1.0,0.9999999999999999,0.0006057074152134707,0.9963636363636363,1.0,0.005321045965340967,0.10661768913269043,1243.0,30.0,,,,,0.036163074948762426,0.7881130694072099,0.8318388326075351,0.0020958543183245276,,79.0,90.0,0.02116246273730752,0.005453959244157344,0.00011701900254247796,0.741389974236971,0.98699550112498,9.0,,,,,,,,,,
1462,banknote-authentication,cat,1372.0,5.0,4,2,1.0,1.0,2.288229080525878e-05,1.0,1.0,0.0024092173376587087,3.811098575592041,,,,,,,0.011444767437388452,,,,,,,,,,,,,Bernoulli,518.0,10.0,3.8299420678263685e-06,2.8879970347916606,32.0,,,,
1462,banknote-authentication,svm,1372.0,5.0,4,2,1.0,1.0,0.0021764689865476825,1.0,1.0,0.002137584579720352,0.030989408493041992,,,,,,,,,,,9.719735233379657,,,,,,,,,,,,,,,,8.776339612440124,rbf,True
1049,pc4,rf,1458.0,38.0,37,2,1.0,1.0,0.0281792666589033,0.9075342465753424,0.9503038194444444,0.20213294088095576,4.395112991333008,1651.0,29.0,3.0,2.0,sqrt,False,,,,,,,,,,,,,,,,,,,,,,,
